transaction_id,player_id,tricode,type,date,notes
1979-MTL-4-8450074,8450074,MTL,DRAFTED,1979-08-09,"On 1979-08-09, with the 79th overall pick in the 4th round of the 1979 draft, MTL selected David Orleski, a WHL defenseman playing for the New Westminster Bruins."
1979-NYI-4-8448867,8448867,NYI,DRAFTED,1979-08-09,"On 1979-08-09, with the 80th overall pick in the 4th round of the 1979 draft, NYI selected Tim Lockridge, a WHL defenseman playing for the Brandon Wheat Kings."
1979-HFD-4-8449860,8449860,HFD,DRAFTED,1979-08-09,"On 1979-08-09, with the 81st overall pick in the 4th round of the 1979 draft, HFD selected Ray Neufeld, a WHL forward playing for the Edmonton Oil Kings."
1979-WIN-4-8446293,8446293,WIN,DRAFTED,1979-08-09,"On 1979-08-09, with the 82nd overall pick in the 4th round of the 1979 draft, WIN selected Pat Daley, a QMJHL forward playing for the Montreal Juniors."
1979-QUE-4-8451688,8451688,QUE,DRAFTED,1979-08-09,"On 1979-08-09, with the 83rd overall pick in the 4th round of the 1979 draft, QUE selected Anton Stastny, a Czechoslovakia forward playing for None."
1979-EDM-4-8448528,8448528,EDM,DRAFTED,1979-08-09,"On 1979-08-09, with the 84th overall pick in the 4th round of the 1979 draft, EDM selected Maxwell Kostovich, a WHL forward playing for the Portland Winter Hawks."
1979-CLR-5-8446419,8446419,CLR,DRAFTED,1979-08-09,"On 1979-08-09, with the 85th overall pick in the 5th round of the 1979 draft, CLR selected Gary Dillon, a OHA forward playing for the Toronto Marlboros."
1979-STL-5-8450741,8450741,STL,DRAFTED,1979-08-09,"On 1979-08-09, with the 86th overall pick in the 5th round of the 1979 draft, STL selected Mark Reeds, a OHA forward playing for the Peterborough Petes."
1979-DET-5-8450221,8450221,DET,DRAFTED,1979-08-09,"On 1979-08-09, with the 87th overall pick in the 5th round of the 1979 draft, DET selected Joe Paterson, a OHA forward playing for the London Knights."
1979-WSH-5-8451922,8451922,WSH,DRAFTED,1979-08-09,"On 1979-08-09, with the 88th overall pick in the 5th round of the 1979 draft, WSH selected Tim Tookey, a WHL forward playing for the Portland Winter Hawks."
1979-VAN-5-8447345,8447345,VAN,DRAFTED,1979-08-09,"On 1979-08-09, with the 89th overall pick in the 5th round of the 1979 draft, VAN selected Dirk Graham, a WHL forward playing for the Regina Pats."
1979-MNS-5-8446439,8446439,MNS,DRAFTED,1979-08-09,"On 1979-08-09, with the 90th overall pick in the 5th round of the 1979 draft, MNS selected Jim Dobson, a WHL forward playing for the Portland Winter Hawks."
1979-CHI-5-8457105,8457105,CHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 91st overall pick in the 5th round of the 1979 draft, CHI selected Gordon Loveday, a OHA defenseman playing for the Kingston Canadians."
1979-LAK-5-8445711,8445711,LAK,DRAFTED,1979-08-09,"On 1979-08-09, with the 92nd overall pick in the 5th round of the 1979 draft, LAK selected Jim Brown, a NCAA defenseman playing for Notre Dame."
1979-TOR-5-8449882,8449882,TOR,DRAFTED,1979-08-09,"On 1979-08-09, with the 93rd overall pick in the 5th round of the 1979 draft, TOR selected Frank Nigro, a OHA forward playing for the London Knights."
1979-PIT-5-8450806,8450806,PIT,DRAFTED,1979-08-09,"On 1979-08-09, with the 94th overall pick in the 5th round of the 1979 draft, PIT selected Nick Ricci, a OHA goalie playing for the Niagara Falls Flyers."
1979-BUF-5-8447684,8447684,BUF,DRAFTED,1979-08-09,"On 1979-08-09, with the 95th overall pick in the 5th round of the 1979 draft, BUF selected Alan Haworth, a QMJHL forward playing for the Sherbrooke Beavers."
1979-AFM-5-8448448,8448448,AFM,DRAFTED,1979-08-09,"On 1979-08-09, with the 96th overall pick in the 5th round of the 1979 draft, AFM selected Brad Kempthorne, a WHL forward playing for the Brandon Wheat Kings."
1979-NYR-5-8457190,8457190,NYR,DRAFTED,1979-08-09,"On 1979-08-09, with the 97th overall pick in the 5th round of the 1979 draft, NYR selected Daniel Makuch, a NCAA forward playing for Clarkson U.."
1979-PHI-5-8446711,8446711,PHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 98th overall pick in the 5th round of the 1979 draft, PHI selected Thomas Eriksson, a Swedish Jr. Nationals defenseman playing for None."
1979-BOS-5-8445272,8445272,BOS,DRAFTED,1979-08-09,"On 1979-08-09, with the 99th overall pick in the 5th round of the 1979 draft, BOS selected Marco Baron, a QMJHL goalie playing for the Montreal Juniors."
1979-MTL-5-8448369,8448369,MTL,DRAFTED,1979-08-09,"On 1979-08-09, with the 100th overall pick in the 5th round of the 1979 draft, MTL selected Yvan Joly, a OHA forward playing for the Ottawa 67's."
1979-NYI-5-8446518,8446518,NYI,DRAFTED,1979-08-09,"On 1979-08-09, with the 101st overall pick in the 5th round of the 1979 draft, NYI selected Glen Duncan, a OHA forward playing for the Toronto Marlboros."
1979-HFD-5-8450798,8450798,HFD,DRAFTED,1979-08-09,"On 1979-08-09, with the 102nd overall pick in the 5th round of the 1979 draft, HFD selected Mark Renaud, a OHA defenseman playing for the Niagara Falls Flyers."
1979-WIN-5-8451697,8451697,WIN,DRAFTED,1979-08-09,"On 1979-08-09, with the 103rd overall pick in the 5th round of the 1979 draft, WIN selected Thomas Steen, a Sweden forward playing for None."
1979-QUE-5-8448615,8448615,QUE,DRAFTED,1979-08-09,"On 1979-08-09, with the 104th overall pick in the 5th round of the 1979 draft, QUE selected Pierre Lacroix, a QMJHL defenseman playing for the Trois Rivieres Draveurs."
1979-EDM-5-8451918,8451918,EDM,DRAFTED,1979-08-09,"On 1979-08-09, with the 105th overall pick in the 5th round of the 1979 draft, EDM selected Michael Toal, a WHL forward playing for the Portland Winter Hawks."
1979-CLR-6-8445158,8445158,CLR,DRAFTED,1979-08-09,"On 1979-08-09, with the 106th overall pick in the 6th round of the 1979 draft, CLR selected Bob Attwell, a OHA forward playing for the Peterborough Petes."
1979-STL-6-8457034,8457034,STL,DRAFTED,1979-08-09,"On 1979-08-09, with the 107th overall pick in the 6th round of the 1979 draft, STL selected Gilles Leduc, a QMJHL defenseman playing for the Verdun Black Hawks."
1979-DET-6-8455878,8455878,DET,DRAFTED,1979-08-09,"On 1979-08-09, with the 108th overall pick in the 6th round of the 1979 draft, DET selected Carmine Cirella, a OHA forward playing for the Peterborough Petes."
1979-WSH-6-8451887,8451887,WSH,DRAFTED,1979-08-09,"On 1979-08-09, with the 109th overall pick in the 6th round of the 1979 draft, WSH selected Greg Theberge, a OHA defenseman playing for the Peterborough Petes."
1979-VAN-6-8458169,8458169,VAN,DRAFTED,1979-08-09,"On 1979-08-09, with the 110th overall pick in the 6th round of the 1979 draft, VAN selected Shane Swan, a OHA defenseman playing for the Sudbury Wolves."
1979-MNS-6-8447189,8447189,MNS,DRAFTED,1979-08-09,"On 1979-08-09, with the 111th overall pick in the 6th round of the 1979 draft, MNS selected Brian Gualazzi, a OHA forward playing for the Sault Ste. Marie Greyhounds."
1979-CHI-6-8446238,8446238,CHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 112th overall pick in the 6th round of the 1979 draft, CHI selected Doug Crossman, a OHA defenseman playing for the Ottawa 67's."
1979-LAK-6-8448941,8448941,LAK,DRAFTED,1979-08-09,"On 1979-08-09, with the 113th overall pick in the 6th round of the 1979 draft, LAK selected Jay McFarlane, a NCAA defenseman playing for U. of Wisconsin."
1979-TOR-6-8449407,8449407,TOR,DRAFTED,1979-08-09,"On 1979-08-09, with the 114th overall pick in the 6th round of the 1979 draft, TOR selected William McCreary, a NCAA forward playing for Colgate U.."
1979-PIT-6-8446061,8446061,PIT,DRAFTED,1979-08-09,"On 1979-08-09, with the 115th overall pick in the 6th round of the 1979 draft, PIT selected Marc Chorney, a NCAA defenseman playing for U. of North Dakota."
1979-BUF-6-8456855,8456855,BUF,DRAFTED,1979-08-09,"On 1979-08-09, with the 116th overall pick in the 6th round of the 1979 draft, BUF selected Rick Knickle, a WHL goalie playing for the Brandon Wheat Kings."
1979-AFM-6-8456733,8456733,AFM,DRAFTED,1979-08-09,"On 1979-08-09, with the 117th overall pick in the 6th round of the 1979 draft, AFM selected Glenn Johnson, a NCAA forward playing for U. of Denver."
1979-NYR-6-8455398,8455398,NYR,DRAFTED,1979-08-09,"On 1979-08-09, with the 118th overall pick in the 6th round of the 1979 draft, NYR selected Stanley Adams, a OHA forward playing for the Niagara Falls Flyers."
1979-PHI-6-8452461,8452461,PHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 119th overall pick in the 6th round of the 1979 draft, PHI selected Gord Williams, a WHL forward playing for the Lethbridge Broncos."
1979-BOS-6-8448566,8448566,BOS,DRAFTED,1979-08-09,"On 1979-08-09, with the 120th overall pick in the 6th round of the 1979 draft, BOS selected Mike Krushelnyski, a QMJHL forward playing for the Montreal Juniors."
1979-MTL-6-8449653,8449653,MTL,DRAFTED,1979-08-09,"On 1979-08-09, with the 121st overall pick in the 6th round of the 1979 draft, MTL selected Greg Moffett, a NCAA goalie playing for U. of New Hampshire."
1979-NYI-6-8447151,8447151,NYI,DRAFTED,1979-08-09,"On 1979-08-09, with the 122nd overall pick in the 6th round of the 1979 draft, NYI selected John Gibb, a NCAA defenseman playing for Bowling Green."
1979-HFD-6-8449413,8449413,HFD,DRAFTED,1979-08-09,"On 1979-08-09, with the 123rd overall pick in the 6th round of the 1979 draft, HFD selected David McDonald, a WHL forward playing for the Brandon Wheat Kings."
1979-WIN-6-8452347,8452347,WIN,DRAFTED,1979-08-09,"On 1979-08-09, with the 124th overall pick in the 6th round of the 1979 draft, WIN selected Tim Watters, a NCAA defenseman playing for Michigan Tech."
1979-QUE-6-8449441,8449441,QUE,DRAFTED,1979-08-09,"On 1979-08-09, with the 125th overall pick in the 6th round of the 1979 draft, QUE selected Scott McGeown, a OHA defenseman playing for the Toronto Marlboros."
1979-EDM-6-8445269,8445269,EDM,DRAFTED,1979-08-09,"On 1979-08-09, with the 126th overall pick in the 6th round of the 1979 draft, EDM selected Blair Barnes, a OHA forward playing for the Windsor Spitfires."
1980-MTL-1-8452445,8452445,MTL,DRAFTED,1980-06-11,"On 1980-06-11, with the 1st overall pick in the 1st round of the 1980 draft, MTL selected Doug Wickenheiser, a WHL forward playing for the Regina Pats."
1980-WIN-1-8445208,8445208,WIN,DRAFTED,1980-06-11,"On 1980-06-11, with the 2nd overall pick in the 1st round of the 1980 draft, WIN selected Dave Babych, a WHL defenseman playing for the Portland Winter Hawks."
1980-CHI-1-8451146,8451146,CHI,DRAFTED,1980-06-11,"On 1980-06-11, with the 3rd overall pick in the 1st round of the 1980 draft, CHI selected Denis Savard, a QMJHL forward playing for the Montreal Juniors."
1980-LAK-1-8449745,8449745,LAK,DRAFTED,1980-06-11,"On 1980-06-11, with the 4th overall pick in the 1st round of the 1980 draft, LAK selected Larry Murphy, a OHA defenseman playing for the Peterborough Petes."
1980-WSH-1-8452206,8452206,WSH,DRAFTED,1980-06-11,"On 1980-06-11, with the 5th overall pick in the 1st round of the 1980 draft, WSH selected Darren Veitch, a WHL defenseman playing for the Regina Pats."
