staff_id,nhl_id,start_date,end_date,team,role
CCSTA2_351,1281,1977-10-12,1978-04-08,LAK,head_coach
CCSTA2_345,1272,1993-01-04,1993-04-16,NYR,head_coach
CCSTA2_184,1040,1920-12-22,1921-03-07,TSP,head_coach
CCSTA2_147,148,2018-11-06,2019-04-06,LAK,head_coach
CCSTA2_365,1310,1986-11-29,1987-01-23,NYR,head_coach
CCSTA2_337,1264,1996-10-05,1997-04-12,SJS,head_coach
CCSTA2_300,1213,1985-12-31,1986-04-06,DET,head_coach
CCSTA2_550,1871,2021-11-07,2022-04-29,CHI,head_coach
CCSTA2_548,1869,2021-03-18,2024-04-15,BUF,head_coach
CCSTA2_543,1864,2019-02-13,2019-04-05,ANA,head_coach
CCSTA2_546,1867,2021-02-25,2022-02-08,MTL,head_coach
CCSTA2_539,1860,1998-10-10,1998-10-21,DET,head_coach
CCSTA2_537,1858,1935-11-07,1936-03-22,NYA,head_coach
CCSTA2_547,1868,2021-03-06,2026-01-03,CGY,head_coach
CCSTA2_551,1872,2022-02-10,2026-01-04,MTL,head_coach
CCSTA2_542,1863,2018-11-08,2021-11-05,CHI,head_coach
CCSTA2_552,1873,2022-10-14,2024-12-23,DET,head_coach
CCSTA2_549,1870,2021-10-29,2022-04-29,FLA,head_coach
CCSTA2_538,1859,1937-11-04,1939-01-01,CHI,head_coach
CCSTA2_544,1865,2019-11-21,2024-04-17,TOR,head_coach
CCSTA2_549,1870,2023-10-10,2026-01-03,NSH,head_coach
CCSTA2_74,74,2023-10-12,2025-04-17,NYR,head_coach
CCSTA2_455,1756,2023-10-12,2024-04-16,CBJ,head_coach
CCSTA2_556,1878,2023-10-13,2026-01-03,WSH,head_coach
CCSTA2_557,1879,2023-10-14,2025-04-16,ANA,head_coach
CCSTA2_558,1880,2023-11-13,2026-01-03,EDM,head_coach
CCSTA2_155,157,2023-11-28,2026-01-03,MIN,head_coach
CCSTA2_559,1881,2023-12-14,2024-11-23,STL,head_coach
CCSTA2_143,144,2024-01-21,2026-01-03,NYI,head_coach
CCSTA2_500,1817,2024-02-10,2026-01-03,LAK,head_coach
CCSTA2_527,1848,2024-03-05,2024-04-15,NJD,head_coach
CCSTA2_544,1865,2024-10-04,2026-01-04,NJD,head_coach
CCSTA2_113,113,2024-10-08,2025-04-15,SEA,head_coach
CCSTA2_482,1797,2024-10-08,2026-01-03,UTA,head_coach
CCSTA2_145,146,2024-10-09,2026-01-03,TOR,head_coach
CCSTA2_123,124,2024-10-09,2026-01-03,WPG,head_coach
CCSTA2_443,1731,2024-10-10,2026-01-04,CBJ,head_coach
CCSTA2_527,1848,2024-10-10,2026-01-03,OTT,head_coach
CCSTA2_560,1883,2024-10-10,2026-01-03,SJS,head_coach
CCSTA2_115,115,2024-11-21,2025-04-15,BOS,head_coach
CCSTA2_528,1849,2024-11-25,2026-01-03,STL,head_coach
CCSTA2_561,1884,2024-12-07,2025-04-15,CHI,head_coach
CCSTA2_105,105,2024-12-27,2026-01-03,DET,head_coach
CCSTA2_12,12,2025-03-27,2025-04-17,PHI,head_coach
CCSTA2_555,1877,2014-12-29,2015-04-11,NJD,head_coach
CCSTA2_154,156,2025-10-07,2026-01-04,CHI,head_coach
CCSTA2_70,70,2025-10-07,2026-01-02,NYR,head_coach
CCSTA2_565,1888,2025-10-07,2026-01-04,PIT,head_coach
CCSTA2_566,1889,2025-10-08,2026-01-03,BOS,head_coach
CCSTA2_111,111,2025-10-09,2026-01-03,PHI,head_coach
CCSTA2_48,48,2025-10-09,2026-01-02,ANA,head_coach
CCSTA2_448,1743,2025-10-09,2026-01-02,SEA,head_coach
CCSTA2_564,1887,2025-10-09,2026-01-03,VAN,head_coach
